Gender,Customer_Type,Age,Type_of_Travel,Class,Flight_Distance,Inflight_wifi_service,Departure_Arrival_time_convenient,Ease_of_Online_booking,Food_and_drink,Seat_comfort,Inflight_entertainment,Onboard_service,Leg_room_service,Baggage_handling,Checkin_service,Cleanliness,Online_boarding,Satisfaction
Male,Loyal Customer,34,Business,Economy Plus,482,5,1,5,5,1,3,5,0,1,4,4,3,Satisfied
Male,Disloyal Customer,52,Business,Economy,4809,3,5,1,3,3,0,4,4,1,1,5,5,Satisfied
Female,Loyal Customer,54,Business,Economy Plus,4044,2,3,4,5,0,4,1,3,5,2,0,4,Satisfied
Female,Loyal Customer,37,Business,Economy,1886,2,3,0,0,4,0,4,0,1,5,3,2,Satisfied
Female,Loyal Customer,21,Personal,Economy,160,5,5,4,2,1,5,0,5,2,1,0,5,Neutral or Dissatisfied
Female,Disloyal Customer,61,Business,Economy Plus,4574,3,2,4,1,2,5,0,5,2,0,2,0,Neutral or Dissatisfied
Male,Disloyal Customer,23,Personal,Business,4998,1,4,0,2,2,0,4,1,5,4,1,3,Satisfied
Male,Loyal Customer,64,Personal,Economy Plus,1298,4,3,0,5,4,1,5,2,4,0,3,5,Satisfied
Female,Disloyal Customer,62,Personal,Business,1164,5,2,1,0,0,1,4,5,3,2,4,0,Neutral or Dissatisfied
Female,Loyal Customer,51,Personal,Economy,1274,0,0,3,0,0,4,2,5,1,5,2,3,Neutral or Dissatisfied
Male,Disloyal Customer,68,Business,Business,3412,0,2,4,4,3,5,1,3,4,0,1,3,Neutral or Dissatisfied
Male,Loyal Customer,36,Personal,Economy Plus,3100,2,0,3,1,3,0,2,3,4,3,1,5,Satisfied
Female,Disloyal Customer,68,Personal,Business,3006,2,1,1,4,0,5,0,3,4,1,3,0,Satisfied
Male,Disloyal Customer,66,Personal,Economy,3893,2,0,1,3,0,4,1,1,1,1,3,3,Neutral or Dissatisfied
Female,Loyal Customer,19,Personal,Economy Plus,4261,0,0,0,4,0,2,0,2,2,5,3,5,Satisfied
Male,Loyal Customer,68,Business,Business,707,4,2,1,2,4,3,3,0,4,4,5,3,Satisfied
Female,Disloyal Customer,64,Personal,Economy,813,3,1,5,5,4,5,4,0,5,4,2,3,Neutral or Dissatisfied
Male,Loyal Customer,50,Business,Economy Plus,3361,0,2,0,5,1,4,0,1,3,0,2,4,Neutral or Dissatisfied
Female,Disloyal Customer,61,Business,Economy Plus,2346,3,1,0,1,0,2,5,3,0,5,1,1,Neutral or Dissatisfied
Male,Disloyal Customer,46,Business,Economy,1404,0,5,1,0,3,4,4,1,4,5,3,4,Satisfied
Female,Loyal Customer,25,Business,Economy,2365,2,3,3,2,2,5,4,1,1,1,1,2,Satisfied
Male,Disloyal Customer,23,Personal,Economy,3393,1,1,0,3,1,3,0,3,2,5,4,3,Neutral or Dissatisfied
Female,Loyal Customer,48,Personal,Economy,614,5,5,2,4,2,4,5,0,4,4,1,0,Neutral or Dissatisfied
Female,Disloyal Customer,42,Personal,Economy,2693,4,1,5,3,1,3,5,2,5,3,5,4,Neutral or Dissatisfied
Male,Disloyal Customer,40,Personal,Business,3043,2,1,0,5,2,0,2,1,3,0,1,0,Satisfied
Male,Disloyal Customer,35,Business,Economy,2123,0,5,5,1,1,4,4,1,2,4,5,1,Satisfied
Female,Loyal Customer,38,Business,Business,1473,3,0,4,2,0,3,1,2,1,5,4,3,Satisfied
Male,Loyal Customer,20,Business,Economy,4327,3,0,1,5,3,5,5,3,3,2,5,0,Neutral or Dissatisfied
Female,Disloyal Customer,57,Business,Economy,1735,5,3,4,5,0,4,5,0,2,3,0,1,Satisfied
Female,Loyal Customer,63,Personal,Business,3707,4,5,1,1,1,3,2,4,0,5,5,1,Satisfied
Male,Loyal Customer,63,Personal,Economy Plus,2703,3,4,4,4,5,3,5,5,4,5,0,5,Satisfied
Male,Loyal Customer,29,Personal,Business,1133,2,5,1,0,3,2,4,4,5,5,2,4,Neutral or Dissatisfied
Male,Loyal Customer,30,Business,Business,3327,4,5,4,2,5,0,0,0,0,1,4,1,Neutral or Dissatisfied
Male,Loyal Customer,41,Personal,Economy,3041,0,4,3,4,5,2,3,1,3,3,4,0,Satisfied
Male,Loyal Customer,25,Business,Economy,2407,4,3,1,5,5,5,4,0,4,3,5,1,Satisfied
Male,Loyal Customer,19,Business,Economy,4268,5,1,1,5,2,5,1,3,2,5,3,2,Satisfied
Female,Loyal Customer,66,Business,Economy Plus,2686,5,0,0,0,1,3,3,5,1,4,1,3,Neutral or Dissatisfied
Male,Disloyal Customer,36,Business,Business,4171,3,2,1,2,1,0,4,3,2,4,0,2,Neutral or Dissatisfied
Female,Disloyal Customer,52,Business,Economy,3058,0,3,5,5,4,1,3,3,2,0,2,3,Neutral or Dissatisfied
Female,Loyal Customer,49,Business,Economy,279,1,4,2,2,5,2,0,3,2,0,2,5,Satisfied
Male,Loyal Customer,25,Business,Business,254,5,1,4,4,0,3,2,0,3,2,4,3,Neutral or Dissatisfied
Female,Loyal Customer,48,Personal,Business,240,3,2,2,4,4,3,1,0,0,5,4,3,Neutral or Dissatisfied
Male,Disloyal Customer,49,Personal,Economy Plus,4139,3,5,1,0,1,2,1,3,5,0,2,2,Neutral or Dissatisfied
Male,Loyal Customer,45,Business,Economy Plus,4497,1,2,0,5,3,0,0,5,1,2,5,5,Neutral or Dissatisfied
Male,Loyal Customer,26,Business,Economy Plus,4083,2,3,0,4,2,1,4,0,0,4,0,4,Neutral or Dissatisfied
Male,Loyal Customer,35,Business,Economy,1138,5,1,3,5,4,1,2,4,4,4,2,5,Satisfied
Male,Disloyal Customer,69,Personal,Economy Plus,1774,0,1,0,0,3,4,0,1,1,1,4,5,Neutral or Dissatisfied
Male,Loyal Customer,59,Personal,Economy Plus,1565,3,3,2,3,5,3,5,4,1,3,2,4,Satisfied
Female,Loyal Customer,53,Business,Economy Plus,3502,4,0,5,5,5,0,4,0,1,0,3,5,Neutral or Dissatisfied
Male,Disloyal Customer,20,Business,Business,246,3,0,3,2,1,5,3,1,0,5,0,3,Neutral or Dissatisfied
Female,Loyal Customer,26,Personal,Economy Plus,1759,5,0,0,3,2,2,3,3,1,3,3,2,Satisfied
Female,Loyal Customer,62,Personal,Economy Plus,4271,4,3,3,3,5,3,3,0,5,0,0,2,Neutral or Dissatisfied
Male,Disloyal Customer,49,Personal,Economy,3983,4,5,1,1,4,1,3,2,4,3,0,0,Neutral or Dissatisfied
Male,Disloyal Customer,61,Personal,Business,1803,4,3,0,4,0,5,4,3,3,0,1,5,Neutral or Dissatisfied
Male,Loyal Customer,50,Personal,Business,298,0,4,0,5,5,5,5,0,4,0,0,3,Neutral or Dissatisfied
Male,Loyal Customer,22,Personal,Business,1513,4,4,3,4,0,5,5,1,1,3,4,5,Neutral or Dissatisfied
Female,Disloyal Customer,30,Personal,Economy,4895,2,3,2,1,0,2,5,4,1,0,4,4,Neutral or Dissatisfied
Female,Disloyal Customer,34,Personal,Economy Plus,1753,1,1,2,5,4,2,5,5,2,0,3,4,Satisfied
Female,Loyal Customer,54,Business,Business,4483,3,3,5,0,5,1,3,4,4,5,5,2,Satisfied
Female,Disloyal Customer,58,Business,Business,4575,1,0,5,3,1,4,2,2,4,3,5,2,Satisfied
Male,Disloyal Customer,28,Business,Economy,352,4,3,1,4,0,5,1,2,4,5,2,1,Neutral or Dissatisfied
Male,Disloyal Customer,60,Personal,Economy,218,0,2,2,1,1,1,1,0,1,0,3,4,Satisfied
Female,Loyal Customer,65,Personal,Economy Plus,4160,3,5,5,0,4,4,4,2,2,0,2,4,Neutral or Dissatisfied
Female,Loyal Customer,35,Personal,Business,966,5,0,5,5,5,0,0,4,1,2,5,5,Neutral or Dissatisfied
Male,Disloyal Customer,41,Personal,Business,3520,2,5,5,5,5,1,2,5,3,1,5,0,Satisfied
Male,Disloyal Customer,42,Personal,Economy,2426,1,5,1,1,5,5,3,4,2,3,1,2,Neutral or Dissatisfied
Female,Loyal Customer,48,Personal,Business,3493,3,5,4,3,4,2,2,1,2,0,2,0,Neutral or Dissatisfied
Male,Disloyal Customer,61,Business,Economy Plus,1432,1,3,4,3,5,1,3,2,0,3,4,0,Satisfied
Male,Loyal Customer,55,Business,Economy,2294,5,2,1,1,4,3,5,3,2,2,2,1,Satisfied
Male,Disloyal Customer,59,Business,Economy,1070,1,5,0,5,3,0,5,1,0,4,5,4,Satisfied
Male,Loyal Customer,58,Business,Business,1447,5,1,2,4,1,5,2,0,4,0,5,0,Neutral or Dissatisfied
Female,Loyal Customer,52,Business,Economy Plus,994,5,3,5,3,0,1,4,1,5,0,3,2,Satisfied
Female,Loyal Customer,68,Personal,Economy Plus,4363,2,1,3,3,2,2,1,2,4,2,3,4,Satisfied
Male,Disloyal Customer,21,Business,Economy,2889,2,4,5,4,4,3,5,1,2,0,2,1,Neutral or Dissatisfied
Female,Disloyal Customer,63,Personal,Economy Plus,4307,2,4,3,3,5,5,0,1,1,4,1,5,Satisfied
Male,Loyal Customer,18,Business,Business,3886,0,0,3,2,1,0,4,0,3,5,3,3,Satisfied
Female,Disloyal Customer,31,Business,Business,569,3,5,0,2,4,4,5,5,5,2,1,3,Satisfied
Male,Disloyal Customer,24,Personal,Economy Plus,1571,2,1,2,0,3,0,5,5,0,5,2,5,Satisfied
Female,Disloyal Customer,38,Business,Economy Plus,1727,3,1,1,4,4,5,4,2,1,3,5,5,Satisfied
Male,Loyal Customer,58,Business,Economy,726,0,0,2,2,1,1,5,1,4,2,5,5,Satisfied
Female,Disloyal Customer,33,Personal,Economy Plus,4639,5,3,2,1,5,3,3,0,5,5,0,5,Satisfied
Female,Disloyal Customer,51,Personal,Economy Plus,2387,0,2,1,4,2,3,1,2,3,5,5,3,Satisfied
Female,Disloyal Customer,64,Business,Economy,172,5,5,2,2,1,3,1,5,4,2,1,2,Neutral or Dissatisfied
Female,Loyal Customer,30,Personal,Economy,3830,4,4,3,2,5,2,5,3,0,1,5,5,Satisfied
Female,Loyal Customer,40,Business,Business,415,4,0,2,4,4,3,2,3,0,0,0,3,Neutral or Dissatisfied
Female,Loyal Customer,42,Personal,Business,2849,2,5,1,0,2,0,0,1,3,3,3,3,Satisfied
Female,Disloyal Customer,42,Personal,Economy,1652,3,5,1,0,4,3,5,3,1,1,0,3,Satisfied
Female,Disloyal Customer,65,Business,Economy,3315,2,0,5,1,2,3,3,5,1,3,1,5,Neutral or Dissatisfied
Male,Loyal Customer,66,Business,Business,2539,3,4,2,5,2,2,1,4,4,3,2,2,Neutral or Dissatisfied
Male,Loyal Customer,40,Business,Economy Plus,2333,5,2,2,4,5,5,2,4,2,2,4,1,Neutral or Dissatisfied
Male,Loyal Customer,44,Business,Business,4846,1,4,4,4,3,2,4,3,5,2,0,0,Satisfied
Male,Disloyal Customer,23,Business,Business,4769,4,3,5,2,2,1,4,1,4,4,3,5,Neutral or Dissatisfied
Female,Disloyal Customer,41,Personal,Business,183,0,5,5,3,5,4,2,1,3,4,0,4,Neutral or Dissatisfied
Male,Disloyal Customer,55,Personal,Economy,2467,3,4,4,1,5,5,4,1,4,3,2,0,Satisfied
Female,Disloyal Customer,61,Business,Business,1205,0,4,1,5,4,2,0,1,3,4,0,1,Neutral or Dissatisfied
Male,Loyal Customer,44,Business,Business,1664,1,1,5,4,0,3,4,2,4,4,0,5,Neutral or Dissatisfied
Female,Disloyal Customer,26,Personal,Economy Plus,3894,0,4,4,3,4,4,0,2,0,1,0,5,Neutral or Dissatisfied
Male,Disloyal Customer,31,Business,Economy,495,3,4,4,2,0,5,3,2,4,2,4,0,Satisfied
Male,Disloyal Customer,18,Personal,Economy,2481,5,5,5,1,2,1,5,3,4,2,2,4,Satisfied
Male,Loyal Customer,34,Business,Business,484,1,5,4,1,3,0,5,0,2,1,0,0,Neutral or Dissatisfied
Female,Loyal Customer,63,Business,Economy,2411,2,0,0,0,3,2,2,5,5,4,1,1,Satisfied
Male,Disloyal Customer,38,Business,Business,753,5,5,5,0,4,0,5,0,1,1,0,0,Neutral or Dissatisfied
Male,Loyal Customer,55,Personal,Economy,1473,2,5,4,2,3,2,3,3,2,3,5,3,Neutral or Dissatisfied
Male,Loyal Customer,24,Business,Business,792,3,2,5,1,3,3,0,3,2,4,5,4,Neutral or Dissatisfied
Female,Disloyal Customer,59,Business,Business,2098,3,0,1,0,2,1,1,5,2,3,5,0,Neutral or Dissatisfied
Male,Loyal Customer,23,Personal,Business,3623,1,3,5,3,5,3,2,2,1,0,3,4,Neutral or Dissatisfied
Female,Loyal Customer,44,Business,Business,4027,5,3,0,5,2,3,4,0,3,1,4,5,Neutral or Dissatisfied
Female,Loyal Customer,63,Personal,Business,4368,0,5,2,5,0,0,4,0,1,4,5,1,Satisfied
Male,Loyal Customer,20,Business,Business,2099,3,4,3,5,0,2,1,0,4,3,1,3,Satisfied
Male,Loyal Customer,65,Business,Business,3031,1,1,4,1,2,2,5,3,4,0,5,1,Satisfied
Female,Disloyal Customer,47,Personal,Economy,1288,2,0,2,5,5,1,4,4,4,4,3,4,Neutral or Dissatisfied
Female,Disloyal Customer,44,Business,Economy Plus,552,3,1,5,2,2,2,1,4,2,1,0,0,Satisfied
Female,Disloyal Customer,54,Business,Economy,2780,0,0,0,4,5,4,3,1,3,4,3,2,Neutral or Dissatisfied
Male,Disloyal Customer,38,Personal,Economy,3950,0,2,4,3,2,3,3,2,5,2,5,0,Satisfied
Female,Disloyal Customer,57,Business,Economy Plus,679,3,5,0,0,0,4,4,0,1,1,5,2,Neutral or Dissatisfied
Male,Disloyal Customer,57,Business,Economy,4531,0,5,3,3,1,3,2,3,1,3,3,1,Satisfied
Male,Disloyal Customer,32,Personal,Economy,4432,4,5,1,0,3,0,2,0,4,5,3,2,Neutral or Dissatisfied
Male,Loyal Customer,47,Personal,Economy Plus,4418,1,1,5,3,4,2,5,1,3,2,0,4,Neutral or Dissatisfied
Male,Loyal Customer,48,Business,Economy,4395,0,4,3,3,5,0,4,4,4,1,0,4,Satisfied
Male,Loyal Customer,65,Business,Economy Plus,4231,2,4,0,0,1,4,4,5,3,3,1,1,Satisfied
Female,Loyal Customer,46,Personal,Economy Plus,4747,5,2,3,2,1,1,2,2,5,3,3,2,Neutral or Dissatisfied
Female,Disloyal Customer,65,Business,Economy Plus,3539,2,3,1,3,4,5,4,4,2,0,2,5,Satisfied
Male,Disloyal Customer,59,Personal,Business,3112,2,0,3,2,1,2,0,5,2,0,2,4,Satisfied
Male,Disloyal Customer,23,Business,Economy Plus,140,4,1,4,3,2,4,1,2,5,3,5,3,Satisfied
Female,Loyal Customer,47,Personal,Economy Plus,1404,0,2,2,2,1,4,3,0,2,2,0,3,Neutral or Dissatisfied
Male,Loyal Customer,51,Personal,Economy Plus,3619,2,1,4,4,3,1,5,4,5,2,5,0,Neutral or Dissatisfied
Male,Disloyal Customer,42,Business,Economy Plus,779,4,2,5,4,0,5,2,3,4,4,2,2,Neutral or Dissatisfied
Male,Disloyal Customer,23,Business,Economy Plus,1130,3,0,2,1,3,3,4,5,5,2,2,1,Satisfied
Female,Disloyal Customer,26,Business,Economy Plus,404,4,3,0,3,0,1,4,3,0,4,5,0,Satisfied
Male,Loyal Customer,47,Business,Economy Plus,460,3,4,5,4,5,1,2,3,5,2,1,2,Satisfied
Female,Disloyal Customer,59,Business,Business,1701,5,2,4,1,3,0,5,2,1,2,4,0,Satisfied
Male,Loyal Customer,27,Business,Economy Plus,4014,5,2,4,1,2,1,2,3,5,0,1,4,Satisfied
Female,Disloyal Customer,29,Personal,Economy Plus,3361,1,5,2,2,2,4,1,5,0,3,0,0,Satisfied
Female,Loyal Customer,48,Personal,Economy,805,2,3,3,3,3,3,5,0,4,4,4,4,Satisfied
Male,Loyal Customer,44,Personal,Economy,448,5,0,2,5,5,5,4,3,2,1,5,4,Satisfied
Male,Disloyal Customer,59,Personal,Economy Plus,3780,2,1,5,2,4,1,3,0,5,2,0,2,Neutral or Dissatisfied
Male,Loyal Customer,42,Business,Business,2361,2,1,1,3,3,2,2,2,1,0,2,2,Satisfied
Female,Disloyal Customer,65,Business,Economy Plus,1998,1,5,3,0,3,0,3,4,5,3,5,3,Neutral or Dissatisfied
Male,Disloyal Customer,47,Business,Economy Plus,4142,3,2,4,5,1,0,2,1,2,1,5,1,Satisfied
Male,Loyal Customer,58,Business,Business,3040,3,3,5,2,0,1,0,3,5,2,5,0,Neutral or Dissatisfied
Male,Disloyal Customer,56,Personal,Economy,2076,5,2,4,3,3,2,4,4,0,2,5,4,Satisfied
Male,Disloyal Customer,18,Business,Economy Plus,3059,5,2,3,1,0,0,0,4,2,3,0,4,Satisfied
Female,Loyal Customer,62,Business,Economy Plus,937,4,0,0,1,0,3,0,0,3,0,0,1,Satisfied
Male,Disloyal Customer,67,Business,Economy,2166,2,1,3,3,4,5,2,0,1,2,0,3,Satisfied
Male,Loyal Customer,44,Business,Business,483,5,1,5,1,0,5,4,0,5,5,1,1,Satisfied
Female,Disloyal Customer,29,Business,Economy,3806,0,4,5,2,4,5,2,1,1,3,3,4,Satisfied
Female,Loyal Customer,28,Business,Business,102,0,4,2,1,2,4,0,0,4,3,5,0,Satisfied
Male,Loyal Customer,62,Personal,Business,3256,4,0,3,4,4,2,3,2,1,2,2,1,Satisfied
Female,Disloyal Customer,27,Personal,Economy Plus,4894,0,0,3,3,1,3,4,0,0,0,5,4,Satisfied
Female,Disloyal Customer,58,Personal,Economy Plus,2455,1,4,1,1,3,2,0,4,0,1,3,1,Satisfied
